logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
IBM-QPU,UDMIS064EXT,UDMIS,90,1,0
IBM-QPU,UDMIS094EXT,UDMIS,70,1,0
IBM-QPU,MWC33,MWC,105,0,4
IBM-QPU,UDMIS036EXT,UDMIS,120,1,0
IBM-QPU,UDMIS089EXT,UDMIS,49,1,0
IBM-QPU,UDMIS091EXT,UDMIS,60,1,0
IBM-QPU,TSP189,TSP,100,0,4
IBM-QPU,UDMIS005EXT,UDMIS,25,1,0
IBM-QPU,UDMIS039EXT,UDMIS,15,1,0
IBM-QPU,UDMIS019EXT,UDMIS,60,1,0
IBM-QPU,UDMIS024EXT,UDMIS,70,1,0
IBM-QPU,UDMIS084EXT,UDMIS,36,1,0
IBM-QPU,UDMIS1TG,UDMIS,8,1,0
IBM-QPU,UDMIS093EXT,UDMIS,60,1,0
IBM-QPU,UDMIS044EXT,UDMIS,30,1,0
IBM-QPU,UDMIS060EXT,UDMIS,70,1,0
IBM-QPU,UDMIS009EXT,UDMIS,30,1,0
IBM-QPU,UDMIS037EXT,UDMIS,15,1,0
IBM-QPU,TSP27,TSP,16,3,1
IBM-QPU,UDMIS040EXT,UDMIS,25,1,0
IBM-QPU,UDMIS022EXT,UDMIS,70,1,0
IBM-QPU,UDMIS029EXT,UDMIS,90,1,0
IBM-QPU,UDMIS014EXT,UDMIS,40,1,0
IBM-QPU,UDMIS4TG,UDMIS,15,1,0
IBM-QPU,UDMIS050EXT,UDMIS,40,0,1
IBM-QPU,UDMIS2TG,UDMIS,15,1,0
IBM-QPU,UDMIS074EXT,UDMIS,15,1,0
IBM-QPU,UDMIS034EXT,UDMIS,120,1,0
IBM-QPU,UDMIS033EXT,UDMIS,100,1,0
IBM-QPU,UDMIS108EXT,UDMIS,120,0,1
IBM-QPU,UDMIS066EXT,UDMIS,90,1,0
IBM-QPU,UDMIS073EXT,UDMIS,15,1,0
IBM-QPU,UDMIS075EXT,UDMIS,15,1,0
IBM-QPU,UDMIS080EXT,UDMIS,30,1,0
IBM-QPU,UDMIS068EXT,UDMIS,100,1,0
IBM-QPU,TSP1,TSP,16,0,1
IBM-QPU,UDMIS051EXT,UDMIS,40,1,0
IBM-QPU,UDMIS053EXT,UDMIS,49,1,0
IBM-QPU,UDMIS007EXT,UDMIS,30,1,0
IBM-QPU,UDMIS059EXT,UDMIS,70,1,0
IBM-QPU,UDMIS002EXT,UDMIS,15,0,1
IBM-QPU,UDMIS010EXT,UDMIS,36,1,0
IBM-QPU,UDMIS063EXT,UDMIS,80,1,0
IBM-QPU,MWC4,MWC,15,2,2
IBM-QPU,UDMIS096EXT,UDMIS,70,1,0
IBM-QPU,UDMIS086EXT,UDMIS,40,1,0
IBM-QPU,UDMIS047EXT,UDMIS,36,1,0
IBM-QPU,UDMIS069EXT,UDMIS,100,1,0
IBM-QPU,UDMIS025EXT,UDMIS,80,1,0
IBM-QPU,UDMIS004EXT,UDMIS,25,1,0
IBM-QPU,UDMIS090EXT,UDMIS,49,1,0
IBM-QPU,UDMIS061EXT,UDMIS,80,1,0
IBM-QPU,UDMIS087EXT,UDMIS,40,1,0
IBM-QPU,UDMIS104EXT,UDMIS,100,1,0
IBM-QPU,UDMIS052EXT,UDMIS,49,1,0
IBM-QPU,UDMIS045EXT,UDMIS,30,1,0
IBM-QPU,UDMIS085EXT,UDMIS,40,1,0
IBM-QPU,UDMIS072EXT,UDMIS,120,1,0
IBM-QPU,UDMIS079EXT,UDMIS,30,1,0
IBM-QPU,UDMIS098EXT,UDMIS,80,1,0
IBM-QPU,UDMIS008EXT,UDMIS,30,1,0
IBM-QPU,UDMIS035EXT,UDMIS,120,1,0
IBM-QPU,UDMIS100EXT,UDMIS,90,1,0
IBM-QPU,UDMIS065EXT,UDMIS,90,1,0
IBM-QPU,UDMIS058EXT,UDMIS,70,1,0
IBM-QPU,UDMIS083EXT,UDMIS,36,1,0
IBM-QPU,UDMIS028EXT,UDMIS,90,1,0
IBM-QPU,UDMIS046EXT,UDMIS,36,1,0
IBM-QPU,UDMIS038EXT,UDMIS,15,1,0
IBM-QPU,UDMIS082EXT,UDMIS,36,1,0
IBM-QPU,UDMIS092EXT,UDMIS,60,1,0
IBM-QPU,UDMIS027EXT,UDMIS,80,1,0
IBM-QPU,UDMIS095EXT,UDMIS,70,1,0
IBM-QPU,UDMIS030EXT,UDMIS,90,1,0
IBM-QPU,UDMIS3TG,UDMIS,25,1,0
IBM-QPU,UDMIS077EXT,UDMIS,25,1,0
IBM-QPU,UDMIS067EXT,UDMIS,100,1,0
IBM-QPU,UDMIS003EXT,UDMIS,15,0,1
IBM-QPU,UDMIS049EXT,UDMIS,40,1,0
IBM-QPU,UDMIS107EXT,UDMIS,120,0,1
IBM-QPU,UDMIS103EXT,UDMIS,100,1,0
IBM-QPU,UDMIS071EXT,UDMIS,120,1,0
IBM-QPU,UDMIS032EXT,UDMIS,100,1,0
IBM-QPU,UDMIS081EXT,UDMIS,30,1,0
IBM-QPU,UDMIS070EXT,UDMIS,120,1,0
IBM-QPU,UDMIS006EXT,UDMIS,25,1,0
IBM-QPU,UDMIS012EXT,UDMIS,36,1,0
IBM-QPU,UDMIS088EXT,UDMIS,49,1,0
IBM-QPU,UDMIS076EXT,UDMIS,25,1,0
IBM-QPU,UDMIS023EXT,UDMIS,70,1,0
IBM-QPU,UDMIS013EXT,UDMIS,40,1,0
IBM-QPU,UDMIS057EXT,UDMIS,60,1,0
IBM-QPU,UDMIS017EXT,UDMIS,49,1,0
IBM-QPU,UDMIS102EXT,UDMIS,90,1,0
IBM-QPU,UDMIS041EXT,UDMIS,25,1,0
IBM-QPU,UDMIS001EXT,UDMIS,15,0,1
IBM-QPU,UDMIS042EXT,UDMIS,25,1,0
IBM-QPU,UDMIS106EXT,UDMIS,120,0,1
IBM-QPU,UDMIS054EXT,UDMIS,49,1,0
IBM-QPU,UDMIS078EXT,UDMIS,25,1,0
IBM-QPU,UDMIS031EXT,UDMIS,100,1,0
IBM-QPU,UDMIS097EXT,UDMIS,80,1,0
IBM-QPU,UDMIS5TG,UDMIS,30,1,0
IBM-QPU,UDMIS020EXT,UDMIS,60,1,0
IBM-QPU,UDMIS099EXT,UDMIS,80,1,0
IBM-QPU,UDMIS043EXT,UDMIS,30,1,0
IBM-QPU,UDMIS056EXT,UDMIS,60,1,0
IBM-QPU,UDMIS011EXT,UDMIS,36,1,0
IBM-QPU,UDMIS018EXT,UDMIS,49,1,0
IBM-QPU,UDMIS101EXT,UDMIS,90,1,0
IBM-QPU,UDMIS015EXT,UDMIS,40,1,0
IBM-QPU,UDMIS105EXT,UDMIS,100,1,0
IBM-QPU,UDMIS055EXT,UDMIS,60,1,0
IBM-QPU,UDMIS048EXT,UDMIS,36,1,0
IBM-QPU,UDMIS026EXT,UDMIS,80,1,0
IBM-QPU,UDMIS7TG,UDMIS,30,1,0
IBM-QPU,UDMIS021EXT,UDMIS,60,1,0
IBM-QPU,UDMIS016EXT,UDMIS,49,1,0
IBM-QPU,UDMIS062EXT,UDMIS,80,1,0
